Дата,Склад,Контрагент,Номенклатура,Количество
2018-01-04,1,address_0,product_0,4
2018-01-04,1,address_0,product_1,4
2018-01-04,1,address_0,product_2,5
2018-01-04,1,address_0,product_3,10
2018-01-04,1,address_0,product_4,2
2018-01-04,1,address_0,product_5,2
2018-01-04,1,address_0,product_6,0
2018-01-04,1,address_0,product_7,1
2018-01-04,1,address_0,product_8,1
2018-01-04,1,address_0,product_9,0
2018-01-04,1,address_0,product_10,2
2018-01-04,1,address_0,product_11,2
2018-01-04,1,address_0,product_12,3
2018-01-04,1,address_0,product_13,4
2018-01-04,1,address_0,product_14,2
2018-01-04,1,address_0,product_15,2
2018-01-04,1,address_0,product_16,1
2018-01-04,1,address_0,product_17,4
2018-01-04,1,address_0,product_18,3
2018-01-04,1,address_0,product_19,2
2018-01-04,1,address_0,product_20,2
2018-01-04,1,address_0,product_21,2
2018-01-04,1,address_1,product_0,5
2018-01-04,1,address_1,product_1,5
2018-01-04,1,address_1,product_2,5
2018-01-04,1,address_1,product_3,5
2018-01-04,1,address_1,product_4,1
2018-01-04,1,address_1,product_5,1
2018-01-04,1,address_1,product_6,5
2018-01-04,1,address_1,product_7,1
2018-01-04,1,address_1,product_8,1
2018-01-04,1,address_1,product_10,2
2018-01-04,1,address_1,product_12,0
2018-01-04,1,address_1,product_13,5
2018-01-04,1,address_1,product_14,1
2018-01-04,1,address_1,product_22,3
2018-01-04,1,address_1,product_15,0
2018-01-04,1,address_1,product_17,3
2018-01-04,1,address_2,product_0,0
2018-01-04,1,address_2,product_1,0
2018-01-04,1,address_2,product_2,0
2018-01-04,1,address_2,product_3,5
2018-01-04,1,address_2,product_4,0
2018-01-04,1,address_2,product_5,2
2018-01-04,1,address_2,product_7,1
2018-01-04,1,address_2,product_8,1
2018-01-04,1,address_2,product_10,1
2018-01-04,1,address_2,product_11,1
2018-01-04,1,address_2,product_12,4
2018-01-04,1,address_2,product_14,1
2018-01-04,1,address_2,product_22,4
2018-01-04,1,address_2,product_15,2
2018-01-04,1,address_2,product_17,4
2018-01-04,1,address_2,product_18,1
2018-01-04,1,address_2,product_19,1
